problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 42; 132; integer optimal solution; 0.0072841644287109375; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 248; 67; 45; 89; 772; integer optimal solution; 0.006443977355957031; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.0003418922424316406; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 248; 67; 42; 71; 772; optimal; 0.0008568763732910156; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 29; 107; 210; integer optimal solution; 0.00896310806274414; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.000000000000014; 33.000000000000014; 0.0; 490; 136; 39; 416; 1595; integer optimal solution; 0.024418115615844727; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003819465637207031; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 30.015134057524428; nan; 490; 136; 94; 249; 1595; optimal; 0.002537965774536133; False;  
ID000_M015_J015; manne; 15; 15; True; 1209.9999898108024; 1209.999999998; 8.419171596078956e-09; 3375; 1801; 1009; 11263213; 9900; integer optimal, tolerance; 237.2585790157318; False;  
ID000_M015_J015; minla_fav; 15; 15; True; 1697.0906113537112; 7750.0; 0.7810205662769304; 71535; 22276; 249; 6932856; 254670; time limit exceeded; 3600.0580949783325; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.018185138702392578; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 1143.483389630917; nan; 71535; 22276; 6877; 51207; 254670; optimal; 8.540823936462402; False;  
ID001_M015_J015; manne; 15; 15; True; 1176.9666666666662; 1177.0; 2.8320589068610815e-05; 3375; 1801; 995; 69027037; 9900; integer optimal, tolerance; 982.8613731861115; False;  
ID001_M015_J015; minla_fav; 15; 15; True; 1525.2920106268984; 8530.999999999982; 0.8212059535075625; 71535; 22276; 22099; 9951758; 254670; time limit exceeded; 3600.0538408756256; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.018105030059814453; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 1118.990718755717; nan; 71535; 22276; 8891; 57928; 254670; optimal; 9.418956995010376; False;  
ID002_M015_J015; manne; 15; 15; True; 1196.9024183283839; 1196.999999992; 8.152185765819115e-05; 3375; 1801; 1008; 179317681; 9900; integer optimal, tolerance; 2542.7840328216553; False;  
ID002_M015_J015; minla_fav; 15; 15; True; 1487.167800963036; 8562.0; 0.8263060265168046; 71535; 22276; 22170; 3095346; 254670; time limit exceeded; 3600.1566491127014; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.021402835845947266; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 1105.5259578427942; nan; 71535; 22276; 7501; 54343; 254670; optimal; 10.485678911209106; False;  
